CD,BpouName,Delegation,Alloc,
1,Blue Earth County,1-Blue Earth County,3,
1,Brown County,1-Brown County,2,
1,Dodge County,1-Dodge County,2,
1,Faribault County,1-Faribault County,1,
1,Fillmore County,1-Fillmore County,1,
1,Freeborn County,1-Freeborn County,2,
1,Goodhue County,1-Goodhue County,3,
1,Houston County,1-Houston County,1,
1,Jackson County,1-Jackson County,1,
1,Martin County,1-Martin County,1,
1,Mower County,1-Mower County,2,
1,Nicollet County,1-Nicollet County,2,
1,Nobles County,1-Nobles County,1,
1,Olmsted County,1-Olmsted County,8,
1,Rice County,1-Rice County,2,
1,Rock County,1-Rock County,1,
1,Steele County,1-Steele County,2,
1,Wabasha County,1-Wabasha County,2,
1,Waseca County,1-Waseca County,1,
1,Watonwan County,1-Watonwan County,1,
1,Winona County,1-Winona County,3,
2,HD 58B,2-HD 58B,3,
2,Le Sueur County,2-Le Sueur County,2,
2,Rice County,2-Rice County,2,
2,Scott County,2-Scott County,8,
2,SD 41,2-SD 41,3,
2,SD 47,2-SD 47,1,
2,SD 52,2-SD 52,3,
2,SD 53,2-SD 53,4,
2,SD 55,2-SD 55,4,
2,SD 56,2-SD 56,4,
2,SD 57,2-SD 57,4,
2,SD 65,2-SD 65,1,
3,SD 31,3-SD 31,1,
3,SD 34,3-SD 34,4,
3,SD 35,3-SD 35,4,
3,SD 37,3-SD 37,5,
3,SD 38,3-SD 38,1,
3,SD 42,3-SD 42,3,
3,SD 43,3-SD 43,1,
3,SD 45,3-SD 45,5,
3,SD 46,3-SD 46,1,
3,SD 49,3-SD 49,3,
3,SD 50,3-SD 50,3,
3,SD 51,3-SD 51,1,
4,HD 66A,4-HD 66A,1,
4,HD 66B,4-HD 66B,1,
4,SD 33,4-SD 33,2,
4,SD 36,4-SD 36,3,
4,SD 39,4-SD 39,1,
4,SD 40,4-SD 40,3,
4,SD 41,4-SD 41,2,
4,SD 44,4-SD 44,3,
4,SD 47,4-SD 47,3,
4,SD 64,4-SD 64,1,
4,SD 65,4-SD 65,1,
4,SD 67,4-SD 67,2,*
5,Minneapolis BPOU,5-Minneapolis BPOU,5,
5,SD 38,5-SD 38,1,
5,SD 39,5-SD 39,2,
5,SD 43,5-SD 43,2,
5,SD 46,5-SD 46,1,
5,SD 50,5-SD 50,1,
5,SD 51,5-SD 51,1,
6,Benton County,6-Benton County,3,
6,Carver County,6-Carver County,7,
6,HD 27A,6-HD 27A,4,
6,HD 27B,6-HD 27B,3,
6,SD 13,6-SD 13,2,
6,SD 14,6-SD 14,4,
6,SD 30,6-SD 30,3,
6,SD 31,6-SD 31,6,
6,SD 32,6-SD 32,5,
6,SD 35,6-SD 35,1,
6,SD 36,6-SD 36,2,
6,Wright County,6-Wright County,10,
7,Becker County,7-Becker County,2,
7,Big Stone County,7-Big Stone County,1,
7,Brown County,7-Brown County,1,
7,Chippewa County,7-Chippewa County,1,
7,Clay County,7-Clay County,3,
7,Cottonwood County,7-Cottonwood County,1,
7,Douglas County,7-Douglas County,3,
7,Grant County,7-Grant County,1,
7,Hubbard County,7-Hubbard County,1,
7,Kandiyohi County,7-Kandiyohi County,2,
7,Kittson County,7-Kittson County,1,
7,Lac Qui Parle County,7-Lac Qui Parle County,1,
7,Lincoln County,7-Lincoln County,1,
7,Lyon County,7-Lyon County,1,
7,Marshall County,7-Marshall County,1,
7,McLeod County,7-McLeod County,2,
7,Meeker County,7-Meeker County,1,
7,Morrison County,7-Morrison County,3,
7,Murray County,7-Murray County,1,
7,Norman County,7-Norman County,1,
7,Otter Tail County,7-Otter Tail County,4,
7,Pennington County,7-Pennington County,1,
7,Pipestone County,7-Pipestone County,1,
7,Polk County,7-Polk County,1,
7,Pope County,7-Pope County,1,
7,Red Lake County,7-Red Lake County,1,
7,Redwood County,7-Redwood County,1,
7,Renville County,7-Renville County,1,
7,Roseau County,7-Roseau County,1,
7,SD 12,7-SD 12,1,
7,SD 13,7-SD 13,3,
7,Sibley County,7-Sibley County,1,
7,Stevens County,7-Stevens County,1,
7,Swift County,7-Swift County,1,
7,Todd County,7-Todd County,1,
7,Traverse County,7-Traverse County,1,
7,Wadena County,7-Wadena County,1,
7,Wilkin County,7-Wilkin County,1,
7,Yellow Medicine County,7-Yellow Medicine County,1,
8,Aitkin County,8-Aitkin County,1,
8,Becker County,8-Becker County,1,
8,Beltrami County,8-Beltrami County,2,
8,Carlton County,8-Carlton County,2,
8,Cass County,8-Cass County,2,
8,Chisago County,8-Chisago County,4,
8,Clearwater County,8-Clearwater County,1,
8,Cook County,8-Cook County,1,
8,Crow Wing County,8-Crow Wing County,5,
8,HD 03B,8-HD 03B,2,
8,Hubbard County,8-Hubbard County,1,
8,Isanti County,8-Isanti County,3,
8,Itasca County,8-Itasca County,3,
8,Kanabec County,8-Kanabec County,1,
8,Koochiching County,8-Koochiching County,1,
8,Lake County,8-Lake County,1,
8,Lake of the Woods County,8-Lake of the Woods County,1,
8,Mahnomen County,8-Mahnomen County,1,
8,Mille Lacs County,8-Mille Lacs County,2,
8,Pine County,8-Pine County,2,
8,SD 08,8-SD 08,3,
8,SD 33,8-SD 33,3,
8,St Louis County,8-St Louis County,5,
